Comment,Designator,Footprint,LCSC
100,"R1,R11,R12,R16,R17,R2,R6,R7",0805-NO,C17408
10K,"R10,R13,R14,R15,R18,R19,R20,R3,R4,R5,R8,R9",0805-NO,C17414
1N4148,"D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9",SOD-323,C2128
MAX31856,"U1,U2,U3,U4",TSSOP14,C2653162
,"JP1,JP2",1X10,C2897373
0.1uF,"C10,C12,C14,C15,C17,C19,C2,C20,C4,C5,C7,C9",0805-NO,C38141
,"J1,J2,J3,J4",TERMBLOCK_1X2-7.62MM-SCREW,C707824
0.01uF,"C1,C11,C13,C16,C18,C3,C6,C8",0805_10MGAP,C83170
,BME280,1X06,
JUMPER-SMT_3_1-NC_TRACE_SILK,JP3,SMT-JUMPER_3_1-NC_TRACE_SILK,
JUMPER-SMT_3_1-NC_TRACE_SILK,JP4,SMT-JUMPER_3_1-NC_TRACE_SILK,
