Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BME280,,1X06,201.0411,-117.3836,0.0,top
C1,0.01uF,0805_10MGAP,156.2411,-103.0036,90.0,top
C2,0.1uF,0805-NO,151.7411,-99.5036,180.0,top
C3,0.01uF,0805-NO,147.2411,-101.5036,180.0,top
C4,0.1uF,0805-NO,147.2411,-104.5036,-90.0,top
C5,0.1uF,0805-NO,147.2411,-108.5036,90.0,top
C6,0.01uF,0805_10MGAP,138.7411,-103.0036,90.0,top
C7,0.1uF,0805-NO,133.7411,-99.5036,180.0,top
C8,0.01uF,0805-NO,129.2411,-101.5036,180.0,top
C9,0.1uF,0805-NO,129.2411,-104.5036,-90.0,top
C10,0.1uF,0805-NO,129.2611,-108.3236,90.0,top
C11,0.01uF,0805_10MGAP,120.2411,-103.0036,90.0,top
C12,0.1uF,0805-NO,115.7411,-99.5036,180.0,top
C13,0.01uF,0805-NO,111.2411,-101.5036,180.0,top
C14,0.1uF,0805-NO,111.2411,-104.5036,-90.0,top
C15,0.1uF,0805-NO,111.2411,-108.5036,90.0,top
C16,0.01uF,0805_10MGAP,102.2411,-103.0036,90.0,top
C17,0.1uF,0805-NO,97.7411,-99.5036,180.0,top
C18,0.01uF,0805-NO,93.2411,-101.5036,180.0,top
C19,0.1uF,0805-NO,93.2411,-104.5036,-90.0,top
C20,0.1uF,0805-NO,93.2411,-108.5036,90.0,top
D1,1N4148,SOD-323,148.2411,-113.5036,0.0,top
D2,1N4148,SOD-323,150.2411,-117.5036,90.0,top
D3,1N4148,SOD-323,153.7411,-117.5036,90.0,top
D4,1N4148,SOD-323,129.7411,-113.5036,0.0,top
D5,1N4148,SOD-323,132.2411,-117.5036,90.0,top
D6,1N4148,SOD-323,135.7411,-117.5036,90.0,top
D7,1N4148,SOD-323,111.7211,-113.8436,0.0,top
D8,1N4148,SOD-323,114.2411,-117.5036,90.0,top
D9,1N4148,SOD-323,117.7411,-117.5036,90.0,top
D10,1N4148,SOD-323,94.2411,-113.5036,0.0,top
D11,1N4148,SOD-323,96.2411,-117.5036,90.0,top
D12,1N4148,SOD-323,99.7411,-117.5036,90.0,top
J1,,TERMBLOCK_1X2-7.62MM-SCREW,151.7411,-95.5036,180.0,top
J2,,TERMBLOCK_1X2-7.62MM-SCREW,133.7411,-95.5036,180.0,top
J3,,TERMBLOCK_1X2-7.62MM-SCREW,115.7411,-95.5036,180.0,top
J4,,TERMBLOCK_1X2-7.62MM-SCREW,97.7411,-95.5036,180.0,top
JP1,,1X10,175.6411,-117.3836,180.0,bottom
JP2,,1X10,175.6411,-91.9836,180.0,bottom
JP3,JUMPER-SMT_3_1-NC_TRACE_SILK,SMT-JUMPER_3_1-NC_TRACE_SILK,177.2286,-108.1761,180.0,bottom
JP4,JUMPER-SMT_3_1-NC_TRACE_SILK,SMT-JUMPER_3_1-NC_TRACE_SILK,177.2286,-111.9861,0.0,bottom
R1,100,0805-NO,156.2411,-99.5036,180.0,top
R2,100,0805-NO,147.2411,-99.5036,0.0,top
R3,10K,0805-NO,155.7411,-117.5036,-90.0,top
R4,10K,0805-NO,148.2411,-117.5036,-90.0,top
R5,10K,0805-NO,148.6211,-111.5636,180.0,top
R6,100,0805-NO,138.7411,-99.5036,180.0,top
R7,100,0805-NO,129.2411,-99.5036,0.0,top
R8,10K,0805-NO,137.7411,-117.5036,-90.0,top
R9,10K,0805-NO,129.7411,-117.5036,-90.0,top
R10,10K,0805-NO,130.2411,-111.5036,180.0,top
R11,100,0805-NO,120.2411,-99.5036,180.0,top
R12,100,0805-NO,111.2411,-99.5036,0.0,top
R13,10K,0805-NO,119.7411,-117.5036,-90.0,top
R14,10K,0805-NO,111.7411,-117.5036,-90.0,top
R15,10K,0805-NO,112.2611,-111.7036,180.0,top
R16,100,0805-NO,102.2411,-99.5036,180.0,top
R17,100,0805-NO,93.2411,-99.5036,0.0,top
R18,10K,0805-NO,101.7411,-117.5036,-90.0,top
R19,10K,0805-NO,94.2411,-117.5036,-90.0,top
R20,10K,0805-NO,94.2411,-111.5036,180.0,top
U1,MAX31856,TSSOP14,133.7411,-106.5036,180.0,top
U2,MAX31856,TSSOP14,151.7411,-106.5036,180.0,top
U3,MAX31856,TSSOP14,115.7411,-106.5036,180.0,top
U4,MAX31856,TSSOP14,97.7411,-106.5036,180.0,top
